,index,id,date,sqft_living,sqft_lot,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,month,year,age,price,predicted
0,7,2008000270,2015-01-15,1060,9711,1060,0,1963,0,98198,47.4095,-122.315,1650,9711,1,2015,52,"$291,850.00","$274,170.60"
1,8,2414600126,2015-04-15,1780,7470,1050,730,1960,0,98146,47.5123,-122.337,1780,8113,4,2015,55,"$229,500.00","$390,993.50"
2,12,114101516,2014-05-28,1430,19901,1430,0,1927,0,98028,47.7558,-122.229,1780,12697,5,2014,88,"$310,000.00","$462,398.30"
3,16,1875500060,2014-07-31,1890,14040,1890,0,1994,0,98019,47.7277,-121.962,1890,14018,7,2014,21,"$395,000.00","$347,725.70"
4,18,16000397,2014-12-05,1200,9850,1200,0,1921,0,98002,47.3089,-122.21,1060,5095,12,2014,94,"$189,000.00","$456,679.00"
5,27,3303700376,2014-12-01,1400,1581,1400,0,1909,0,98112,47.6221,-122.314,1860,3861,12,2014,106,"$667,000.00","$649,715.20"
6,32,461000390,2014-06-24,2330,5000,1510,820,1929,0,98117,47.6823,-122.368,1460,5000,6,2014,86,"$687,500.00","$602,046.70"
7,33,7589200193,2014-11-10,1090,3000,1090,0,1929,0,98117,47.6889,-122.375,1570,5080,11,2014,86,"$535,000.00","$515,802.30"
8,45,8035350320,2014-07-18,3160,13603,3160,0,2003,0,98019,47.7443,-121.977,3050,9232,7,2014,12,"$488,000.00","$695,774.40"
9,47,4178300310,2014-07-16,2290,13416,2290,0,1981,0,98007,47.6194,-122.15100000000001,2680,13685,7,2014,34,"$785,000.00","$704,374.40"
10,48,9215400105,2015-04-28,1250,5963,1250,0,1953,0,98115,47.6796,-122.301,970,5100,4,2015,62,"$450,000.00","$339,422.50"
11,51,7231300125,2015-02-17,3150,9134,1640,1510,1966,0,98056,47.4934,-122.189,1990,9133,2,2015,49,"$345,000.00","$716,710.30"
12,58,7922800400,2014-08-27,3250,14342,3250,0,1968,0,98008,47.588,-122.116,2960,11044,8,2014,47,"$951,000.00","$972,346.60"
13,60,1516000055,2014-12-10,2150,21235,1590,560,1959,0,98166,47.4336,-122.339,2570,18900,12,2014,56,"$650,000.00","$773,889.10"
14,61,9558200045,2014-08-28,1260,8400,1260,0,1954,0,98148,47.4366,-122.335,1290,8750,8,2014,61,"$289,000.00","$343,397.00"
15,64,1189001180,2014-06-03,1660,6000,1110,550,1979,0,98122,47.6113,-122.29700000000001,1440,4080,6,2014,36,"$425,000.00","$349,324.70"
16,65,3253500160,2014-11-20,2770,3809,1770,1000,1925,0,98144,47.5747,-122.304,1440,4000,11,2014,90,"$317,625.00","$773,370.70"
17,66,3394100030,2014-09-09,2720,11049,2720,0,1989,0,98004,47.5815,-122.19200000000001,2750,11049,9,2014,26,"$975,000.00","$866,239.10"
18,69,1802000060,2014-06-12,3200,20158,1600,1600,1965,0,98004,47.6303,-122.215,3390,20158,6,2014,50,"$1,330,000.00","$747,965.60"
19,74,3444100400,2015-03-16,1790,50529,1090,700,1965,0,98042,47.3511,-122.073,1940,50529,3,2015,50,"$349,000.00","$387,893.60"
20,88,1332700270,2014-05-19,1610,2040,1610,0,1979,0,98056,47.518,-122.194,1950,2025,5,2014,36,"$215,000.00","$414,947.30"
21,94,6021501535,2014-12-23,1580,5000,1290,290,1939,0,98117,47.687,-122.38600000000001,1570,4500,12,2014,76,"$700,000.00","$570,835.40"
22,119,1695900060,2015-05-11,1610,2982,1610,0,1925,0,98144,47.586999999999996,-122.294,1610,4040,5,2015,90,"$535,000.00","$462,386.00"
23,121,6675500070,2014-11-19,1450,9132,1450,0,1987,0,98034,47.7288,-122.226,1580,9104,11,2014,28,"$391,500.00","$269,845.00"
24,127,8732020310,2014-07-17,2160,8811,1360,800,1978,0,98023,47.3129,-122.39,2090,8400,7,2014,37,"$260,000.00","$532,476.10"
25,129,7853210060,2015-04-06,2070,4310,2070,0,2004,0,98065,47.5319,-121.85,1970,3748,4,2015,11,"$430,000.00","$333,309.20"
26,130,3668000070,2015-01-05,1060,7875,1060,0,1986,0,98092,47.2761,-122.152,1420,7680,1,2015,29,"$212,000.00","$194,857.20"
27,134,2767602356,2015-01-26,2140,2278,2140,0,2005,0,98107,47.6734,-122.38,1540,2285,1,2015,10,"$675,000.00","$639,181.10"
28,142,1432900240,2015-05-08,1610,8579,1010,600,1962,0,98058,47.4563,-122.171,1610,8579,5,2015,53,"$205,000.00","$350,103.20"
29,148,8075400570,2014-10-30,2260,12500,1130,1130,1960,0,98032,47.3887,-122.286,1360,18000,10,2014,55,"$258,000.00","$545,953.70"
30,150,3362900810,2014-08-20,1360,3090,1360,0,1990,0,98103,47.6838,-122.353,1500,3090,8,2014,25,"$532,170.00","$389,950.70"
31,153,7855801670,2015-04-01,5180,19850,3540,1640,2006,0,98006,47.562,-122.162,3160,9750,4,2015,9,"$2,250,000.00","$1,631,709.20"
32,154,7920100045,2014-05-16,700,5100,700,0,1942,0,98115,47.678999999999995,-122.3,1010,5100,5,2014,73,"$350,000.00","$331,593.40"
33,156,6388930390,2014-11-20,3960,25245,2500,1460,1996,0,98056,47.525,-122.17200000000001,2640,13675,11,2014,19,"$650,000.00","$941,548.60"
34,167,1836980160,2015-03-24,2680,4499,2680,0,1999,0,98006,47.565,-122.125,2920,4500,3,2015,16,"$807,100.00","$712,320.20"
35,169,1755700060,2014-06-11,1370,8336,1370,0,1964,0,98133,47.7458,-122.331,1770,7288,6,2014,51,"$371,500.00","$348,674.90"
36,183,6661200320,2014-07-23,1050,3419,1050,0,1996,0,98038,47.3848,-122.039,1050,3417,7,2014,19,"$163,500.00","$201,269.30"
37,187,1954440060,2014-05-05,1900,8744,1900,0,1987,0,98074,47.62,-122.04299999999999,2030,8744,5,2014,28,"$560,000.00","$522,986.00"
38,196,7549802535,2014-11-11,1970,6480,1130,840,1920,0,98108,47.5511,-122.31200000000001,1500,6480,11,2014,95,"$423,000.00","$588,560.80"
39,201,2222059065,2014-11-12,1940,14952,1940,0,1994,0,98042,47.3777,-122.165,2030,10450,11,2014,21,"$297,000.00","$502,506.90"
40,203,100600550,2014-08-04,1300,7370,900,400,1976,0,98023,47.3025,-122.37,1430,7500,8,2014,39,"$226,500.00","$264,054.50"
41,208,1222000055,2014-11-23,900,9600,900,0,1941,0,98166,47.4604,-122.339,1250,14280,11,2014,74,"$180,250.00","$202,231.70"
42,212,8677300550,2014-05-15,2240,12032,2240,0,1983,0,98074,47.6143,-122.01700000000001,2520,12368,5,2014,32,"$592,500.00","$658,375.20"
43,214,1102000196,2014-05-27,1720,6270,1720,0,1978,0,98118,47.5458,-122.26799999999999,2130,8700,5,2014,37,"$477,000.00","$503,946.70"
44,218,1250202145,2014-08-28,3900,14864,1950,1950,1947,0,98144,47.5884,-122.291,2580,5184,8,2014,68,"$1,070,000.00","$1,162,582.30"
45,219,7611200125,2014-10-23,1320,10800,1320,0,1947,0,98177,47.7145,-122.367,2120,12040,10,2014,68,"$467,000.00","$542,723.70"
46,220,5611500140,2014-08-22,2760,6440,2760,0,1999,0,98075,47.5836,-122.02600000000001,3070,8127,8,2014,16,"$686,000.00","$845,095.10"
47,221,7138000260,2014-06-05,1750,9750,1350,400,1961,0,98198,47.398,-122.29899999999999,1900,10125,6,2014,54,"$279,950.00","$427,060.20"
48,223,1922059282,2014-09-18,2220,16020,1780,440,1966,0,98030,47.3758,-122.21700000000001,2080,9583,9,2014,49,"$325,000.00","$620,589.40"
49,230,8096000060,2015-04-13,1450,15798,1230,220,1915,1978,98166,47.4497,-122.375,2030,13193,4,2015,100,"$655,000.00","$1,391,337.50"
50,242,1868901275,2015-01-27,1430,5000,1430,0,1925,0,98115,47.6727,-122.29899999999999,1450,3750,1,2015,90,"$455,000.00","$503,312.60"
51,249,3797001895,2015-04-22,1560,3000,770,790,1918,0,98103,47.6846,-122.345,1390,3000,4,2015,97,"$481,000.00","$421,910.80"
52,251,1310430400,2014-05-13,3360,7685,3360,0,2001,0,98058,47.4369,-122.111,3060,6567,5,2014,14,"$455,000.00","$818,581.80"
53,252,1422300030,2015-04-01,1510,36224,1510,0,1991,0,98045,47.4616,-121.711,1730,36224,4,2015,24,"$415,000.00","$409,235.00"
54,254,3830630060,2014-09-29,1730,7442,1730,0,1987,0,98030,47.3507,-122.178,1630,6458,9,2014,28,"$245,000.00","$368,165.70"
55,257,5127001620,2015-02-11,1580,11455,1200,380,1974,0,98059,47.4756,-122.147,1550,10650,2,2015,41,"$315,000.00","$329,900.40"
56,258,9407100800,2014-11-24,1230,10170,1230,0,1979,0,98045,47.4437,-121.772,1380,10098,11,2014,36,"$255,000.00","$212,384.00"
57,272,1745100140,2014-10-17,1700,11390,1700,0,1967,0,98003,47.3271,-122.323,1350,8164,10,2014,48,"$210,000.00","$334,830.60"
58,275,4215100060,2015-03-20,2653,4510,2653,0,2006,0,98031,47.4145,-122.166,2653,4927,3,2015,9,"$365,000.00","$593,546.90"
59,276,9189700045,2015-01-27,2290,16258,2290,0,1960,0,98058,47.4672,-122.165,1660,10530,1,2015,55,"$450,000.00","$627,992.10"
60,278,2022069200,2015-05-05,2210,49375,2210,0,1997,0,98038,47.3828,-122.071,2670,49385,5,2015,18,"$455,000.00","$465,675.70"
61,282,7424700045,2015-05-13,3830,8480,2630,1200,1905,1994,98122,47.6166,-122.287,3050,7556,5,2015,110,"$2,050,000.00","$1,303,570.40"
62,286,7214810350,2014-10-17,2500,13500,1850,650,1979,0,98072,47.7564,-122.14399999999999,2300,9750,10,2014,36,"$467,000.00","$432,624.30"
63,292,1115450240,2014-10-22,2160,9528,2160,0,1992,0,98001,47.3341,-122.255,2280,9937,10,2014,23,"$360,000.00","$633,687.50"
64,295,9510920070,2014-07-10,3360,22111,3360,0,1994,0,98075,47.5951,-122.01700000000001,3150,11374,7,2014,21,"$879,000.00","$962,614.10"
65,308,7171200445,2015-02-28,1010,5000,1010,0,1908,0,98105,47.6692,-122.29700000000001,1460,5000,2,2015,107,"$550,700.00","$379,669.80"
66,312,1860600135,2014-05-02,3650,9050,3370,280,1921,0,98119,47.6345,-122.367,2880,5400,5,2014,94,"$2,380,000.00","$1,419,114.60"
67,319,4337000335,2014-11-22,800,8775,800,0,1943,0,98166,47.48,-122.336,1310,8775,11,2014,72,"$268,750.00","$120,309.40"
68,321,2597650240,2014-10-23,2030,16200,2030,0,1984,0,98027,47.5162,-122.057,2660,17958,10,2014,31,"$520,000.00","$555,172.10"
