,Actual,Predicted
17384,297000.0,289738.84680587705
722,1580000.0,1481052.1821656637
2680,562100.0,522750.7163162427
18754,631500.0,557561.1192385489
14554,780000.0,851037.6400865307
16227,485000.0,298071.58463027794
6631,340000.0,448651.3007482514
19813,335606.0,546289.6797767598
3367,425000.0,648942.588016862
21372,490000.0,1182986.3249722607
3268,732000.0,671956.7809991743
20961,389700.0,280515.5659409184
21456,450000.0,305023.31640611216
3880,357000.0,376097.27548146714
17472,960000.0,833034.1415946949
7618,257000.0,432375.9719487699
1091,448000.0,264122.7755949488
1560,610000.0,613296.4429139458
8945,230950.0,322813.06110098213
8439,377500.0,490843.2080984581
13058,375000.0,373176.04379696585
12080,410000.0,416366.62856128905
7417,459000.0,518485.8892392041
3101,190000.0,245245.9288255088
18769,585000.0,592573.5003761994
7332,280000.0,191470.31722115632
19186,500000.0,363641.572707749
11875,465000.0,533086.0462929681
14100,802000.0,931482.9069922902
10641,440000.0,448575.2010321915
8163,1450000.0,1495149.5167418597
3254,575000.0,350192.5141022755
17936,390000.0,589108.3291118694
19981,1210000.0,827500.0014333557
2474,858000.0,842935.103094019
1710,453000.0,481236.4915392753
19769,245000.0,172995.64715778828
18934,279000.0,365018.3634024989
2371,482000.0,376354.338928313
17614,228500.0,218183.26862914115
9038,397990.0,325420.63976479974
17296,400000.0,264991.88723172713
17760,325000.0,473482.1621186733
13234,699000.0,634505.2199106701
12123,555000.0,582407.6688784696
2682,687000.0,649594.8329251539
15801,310000.0,430388.83908890653
14529,400000.0,854663.0781048834
3522,525000.0,535428.4193141069
6602,1040000.0,941500.8295300826
5485,255000.0,336395.8691983698
15146,245000.0,501817.6676938245
69,1330000.0,747965.6304771658
6502,309212.0,237176.31823544204
12924,782000.0,976743.1122061415
3311,553000.0,376776.5671458533
20543,390500.0,247056.6995209949
6529,330000.0,317147.4405074809
16875,425000.0,521839.57719320245
8999,552500.0,941128.4165124856
20277,308000.0,319622.642178352
16896,320000.0,364949.5379706444
18559,382000.0,466758.3609790951
17103,435000.0,871587.6846936606
13768,372000.0,563146.9519784814
11207,1380000.0,970534.1388526456
20348,349950.0,343979.9812670816
15356,350000.0,502310.7658598125
5293,1320000.0,965219.9171834216
11483,255000.0,322708.7305601882
15460,405000.0,839661.8293312835
8207,442500.0,458406.96401699353
16704,772000.0,465052.25182251446
20306,767450.0,594643.3682067795
1878,832000.0,953654.0788390962
14642,835000.0,1059231.0505980225
15039,2000000.0,1510722.6345784971
11576,460000.0,721453.267492868
14519,500000.0,381147.5338183204
7709,620000.0,641379.7670117328
1172,605000.0,591714.8253451502
3864,790000.0,958515.4998013433
12826,1750000.0,1126687.5722858766
20727,513000.0,317082.19968122337
13970,600000.0,869296.335359158
4747,680000.0,502324.8561438313
10685,350000.0,282567.5937166186
10631,332000.0,267760.75487430114
7437,605000.0,387506.2291602539
14533,325000.0,237874.66497195605
9253,1680000.0,1505628.973278597
16150,555000.0,481467.4379202025
807,565000.0,635737.9435833506
6723,480000.0,670823.4843726838
20295,3200000.0,1484718.4656670764
88,215000.0,414947.275670412
4658,605000.0,576733.2129029566
7455,623000.0,729904.8381839842
6582,536000.0,290784.4203654509
5603,370000.0,605884.9728692761
6813,203000.0,299097.6432403615
927,420000.0,817213.5031563146
21048,575000.0,625241.1847103583
5829,1800000.0,1337911.6265966138
5488,985000.0,439458.2469388861
14117,412950.0,561252.9162485823
3181,285000.0,395865.67617857363
16217,614306.0,654498.6242516236
5925,450000.0,433521.60313963704
17918,206000.0,614556.5710416799
8743,490000.0,572184.8817934217
1341,960000.0,881798.6297192974
14449,248000.0,110933.03034184314
16010,540000.0,588665.6308460692
10333,344200.0,552500.2209911905
11953,940000.0,960480.5447952487
11420,440500.0,293728.41950035
15209,515000.0,427987.5196336908
19143,635500.0,505411.3423035601
21596,679950.0,794473.0236888044
20282,216000.0,274221.52014353033
3358,304000.0,475107.36414708756
9747,315000.0,479026.6937163994
156,650000.0,941548.5905960184
8766,460000.0,361487.15272259247
19247,178500.0,271515.507720164
7338,215000.0,174939.0462357467
1086,550000.0,457487.31054164004
4706,333000.0,302659.11644932535
2400,325000.0,180176.98560537957
3856,535000.0,845762.2694250504
7229,425000.0,401633.07184527814
2534,358000.0,342752.88876591716
10066,220000.0,226383.03252085298
3539,621500.0,637298.1517866505
14601,194000.0,385745.61989478767
6078,438900.0,697748.8293623719
5147,235000.0,283503.62215017434
11044,280000.0,283067.588091407
3273,627800.0,582679.8315843986
11582,408000.0,788254.3122361535
2239,205000.0,307405.6768697789
17205,796500.0,882644.5963753974
18406,265000.0,373912.6255290378
17343,242000.0,261055.14119280316
20670,502000.0,534667.8066941313
13890,607500.0,635182.5467774179
10211,215000.0,429067.94815575145
20167,502000.0,426594.84023993183
20900,320000.0,340217.9877007343
20619,955000.0,871460.6375466743
1741,372000.0,612245.7926237993
21454,375000.0,316229.087551604
11510,254500.0,583390.6011229577
11775,168000.0,229029.45287405886
